"texto","sentimiento"
"Te woa resumir Etecsa se las vende a esa gente Y luego pone ofertas a la poblacion y los saca del mercado Así vende doble el mismo servicio",0
"El 30 de mayo etecsa dejo bien clarito que mientras mas sucio se juegue mejor pa ellos",-1
"Pero que eso no le asegura liquidez a ETECSA Ahora mañana la gente de afuera dice no más recargas y se acabó la entrada Si tienes a distribuidores atados por contrato te tienen que pagar sí o sí",0
"La gente puede dejar de comprarle si quieren perjudicar a ETECSA y listo como ahora mismo hay gente en redes diciendo que ya no van a enviar más recargas",-1
"Que tienes una base de usuarios que tienen que recargar obligado seguro sobre todo los que trabajan por internet Pero el resto depende que alguien de su familia afuera se apiade de su alma para ponerle una recarga",-1
"La gracia de tener distribuidores es que tengas cláusulas de no competición Aunque aquí no se puede esperar nada lógico",-1
"Tú puedes recoger en USD también no he visto a casi nadie recoger en CUP para recarga internacional",0
"Pero tienen SRI integrado No me sirve un LLM al berro con puro entrenamiento jaja",0
"Etecsa puede hacer las mismas propuestas pero 1 tiene que invertir dinero 2 no hay garantía de rentabilidad en las propuestas",0
"No es lo que propongo pero si sería una consecuencia",0
"El problema ahí está en que Etecsa al ser cubana tiene problemas con cualquier cuenta que tenga en el extranjero directamente a su nombre es por eso que buscan terceros que vendan sus servicios Fijate que en la pagina de Etecsa cada con cualquier servicio de recarga ellos te ponen una sección de en que tiendas online se pueden comprar",0
"papa creo q todos buscan en google y leen docs adjuntos",0
"El mejor que he visto ha sido perplexity",1
"Responde rápido y las fuentes quedan clarísimas",1
"A ETECSA le conviene porque el dinero le llega a su banco bien limpito mientras que extraen el cash que hay físico en la isla ahora mismo ETECSA no recoge cash imagino porque poner grandes cantidades de billetes en bancos lleva controles anti lavado de dinero y financiación del terrorismo y Cuba está en la lista de patrocinadores Que va a subir la inflación seguro pero las medidas de ahora también lo hacen Hay gente vendiendo recargas pero como las compran de forma minorista te la venden a 25USD el que quiera recargar desde aquí tiene que buscarlos",0
"Obviamente un problema con estas alternativas es la mala prensa de estar dolarizando un servicio esencial pero bueno no hay más remedio",-1
"Ya en cuanto a cifras no se papa una MIPYME claramente no cubre pero unas cientos no se realmente",0
"No tengo la confianza para decir si cubre o no",0
"Si la MIPYME ofrece servicio a 100 personas y paga más de lo que le pagarían esas 100 personas a Etecsa entonces si están ganando",0
"así me gusta apoyando a ETECSA",-1
"Es que entre mis opciones Etecsa definitivamente era la mejor",0
"Entonces Musk banea las coordenadas de Cuba del servicio y nadie tiene internet de nuevo",-1
"Al menos ETECSA tiene un interés en darnos servicio corrijo en darles servicios a los cubanos en el exterior A Musk este país se la suda",-1
